gene1,gene2,label
5430,6240,1
5430,5888,1
672,7398,1
672,6240,1
3479,5888,1
4193,5888,1
5888,7398,1
9978,8795,1
4193,5430,1
5430,9978,1
5430,7398,1
5888,9978,1
5888,6240,1
9978,6240,1
637,5888,1
10038,5430,1
672,4193,1
2965,5888,1
3479,4193,1
3486,8795,1
4193,5887,1
4193,6240,1
8493,5888,1
1019,5888,1
3791,4193,1
5430,5970,1
6240,7398,1
672,5430,1
1019,5430,1
1069,2965,1
1956,8795,1
2965,3479,1
2965,6240,1
5970,6240,1
1069,7398,1
1956,5888,1
2067,3479,1
3479,5430,1
3486,5430,1
3486,5887,1
3486,5888,1
637,7398,1
1021,7398,1
1069,6240,1
1956,7398,1
4193,9978,1
2475,7398,1
637,672,1
637,2965,1
637,57804,1
1019,6240,1
1021,6240,1
1069,5888,1
1069,8795,1
1956,4193,1
1956,6240,1
2067,57804,1
3486,6240,1
3791,57804,1
6300,5430,1
142,5430,1
142,6240,1
57804,5430,1
5430,5883,1
5430,7374,1
5888,7374,1
9978,7398,1
637,4193,1
637,5430,1
672,57804,1
672,7374,1
1021,5430,1
1021,5888,1
2965,4193,1
3486,5883,1
2067,3791,1
57804,7374,1
5430,8795,1
5888,8795,1
5970,8795,1
7374,7398,1
637,1956,1
637,5883,1
672,1069,1
672,3479,1
1019,3479,1
1019,4193,1
1069,1956,1
1069,4193,1
1956,9978,1
2067,8493,1
2067,5883,1
3486,8493,1
3791,5430,1
10038,6240,1
57804,6240,1
6240,7374,1
472,6240,1
637,3479,1
672,1019,1
672,2965,1
672,9978,1
672,5970,1
1069,5430,1
1956,3479,1
1956,57804,1
2067,4193,1
2067,6240,1
472,3791,1
6300,5888,1
4193,57804,1
4193,5883,1
4193,7374,1
4193,7398,1
2475,5430,1
10038,5883,1
8493,6240,1
5887,5888,1
5887,8795,1
6240,8795,1
637,1069,1
637,2475,1
1019,2965,1
1021,1069,1
1021,57804,1
1021,9978,1
1956,5430,1
3479,8493,1
5430,5887,1
8493,9978,1
5887,6240,1
5970,7398,1
637,1021,1
1017,5430,1
1019,1069,1
1019,6300,1
1956,2965,1
1956,7374,1
2067,6300,1
2067,2475,1
2067,5888,1
2965,142,1
2965,9978,1
3479,142,1
3479,5883,1
3791,5887,1
4193,2475,1
2475,6240,1
142,9978,1
10038,5888,1
57804,8493,1
5430,8493,1
8493,7374,1
5883,6240,1
8795,7398,1
1021,7374,1
472,4193,1
472,5887,1
472,5888,1
637,3486,1
637,9978,1
637,6240,1
637,7374,1
672,1017,1
672,2067,1
1017,7398,1
1021,2965,1
1021,6300,1
1021,2475,1
1069,3479,1
1069,57804,1
2067,2965,1
2067,5430,1
2067,9978,1
2965,7374,1
3479,6240,1
2965,10038,1
57804,8795,1
57804,7398,1
8493,7398,1
5883,8795,1
5970,7374,1
472,8795,1
472,637,1
472,1019,1
472,1956,1
